Species,CerebellarCortex_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Cerebellum_white_matter_Vol.mm3,FlocculonodularLobe_Vol.mm3,Pontine_and_reticulotegmental_nuclei_Vol.mm3,Total_brain_net_volume_Vol.mm3,Cerebellum_grey_matter_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Facial_motor_nucleus_left_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Hypoglossal_nucleus_left_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_olivaris_inferior_accessorius_Vol.mm3,Nucleus_olivaris_inferior_accessorius_dorsalis_Vol.mm3,Nucleus_olivaris_inferior_accessorius_medialis_Vol.mm3,Nucleus_olivaris_inferior_principalis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Palaeocortex_plus_amygdala_Vol.mm3,PrefrontalCortex_grey_matter_Vol.mm3,PrefrontalCortex_grey_matter_left_Vol.mm3,PrefrontalCortex_grey_matter_right_Vol.mm3,PrefrontalCortex_white_matter_Vol.mm3,PrefrontalCortex_white_matter_left_Vol.mm3,PrefrontalCortex_white_matter_right_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Trigeminal_motor_nucleus_left_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Meninges_hypophysis_nerves_etc_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Diencephalon_excluding_globus_pallidus_Vol.mm3,Striatum_including_globus_pallidus_Vol.mm3,EntorhinalCortex_Vol.mm3,OlfactoryCortices_Vol.mm3,Tectum_Vol.mm3,Tegmentum_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Amygdala_accessory_basal_nucleus_Vol.mm3,Amygdala_basal_nucleus_Vol.mm3,Amygdala_basolateral_division_Vol.mm3,Amygdala_lateral_nucleus_Vol.mm3,Area_10_right_Vol.mm3,Area_13_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Cerebral_hemispheres_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,Pons_Vol.mm3
Nasua nasua,NA,NA,NA,NA,3335.04,NA,NA,NA,NA,NA,14564.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.4,NA,NA,NA,NA,NA,NA,1088.16,615.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,836.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.28,48.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1395.36,1239.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neogale vison,NA,NA,NA,NA,NA,217,NA,NA,11000,859,5960,4750,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neomys fodiens,NA,NA,NA,NA,38.9,NA,NA,NA,299,NA,56.56,50.19,6.371,NA,NA,15.2,320,NA,NA,NA,NA,NA,NA,NA,NA,0.101,0.018,0.034,0.049,8.6,NA,NA,NA,NA,16.2,0.101,NA,NA,NA,0.84,4.1,4.4,9.66,2.31,NA,0.027,4.18e-4,0.0069,25.2,NA,NA,NA,NA,NA,NA,32.9,NA,NA,NA,NA,36,NA,42.2,17.3,NA,9.67,40.52,1.2,0.205,NA,NA,NA,NA,0.263,0.24,0.726,NA,0.355,NA,0.961,NA,0.269,NA,52.7,36,NA,NA,NA,NA,NA,NA,12.4,4.3,9,6.42,18.7,NA,1.7,175,0.71,NA,6,NA,1.63,8.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesogale dobsoni,NA,NA,NA,NA,57.3,NA,NA,NA,513,NA,62.9,NA,NA,NA,NA,32.6,560,NA,NA,NA,NA,NA,NA,NA,NA,0.178,0.019,0.059,0.1,17,NA,NA,NA,NA,53.6,0.178,NA,NA,NA,1.4,6.8,10.2,NA,NA,NA,0.0356,9.5e-4,0.0076,32.8,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,93.5,NA,59,37.9,NA,NA,NA,1.7,0.242,NA,NA,NA,NA,0.28,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,10.2,16.3,9.58,23.1,NA,1.6,326,2.4,NA,13,NA,5.31,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesogale talazaci,NA,NA,NA,NA,92.3,NA,NA,NA,741,NA,96.2,NA,NA,NA,NA,50.4,790,NA,NA,NA,NA,NA,NA,NA,NA,0.369,0.084,0.102,0.183,25.8,NA,NA,NA,NA,74.3,0.369,NA,NA,NA,2.8,12.4,13.4,13.8,3.49,NA,0.0894,0.00147,0.0191,43.8,NA,NA,NA,NA,NA,NA,98.9,NA,NA,NA,NA,139,NA,85.3,47.2,NA,NA,NA,1.7,0.381,NA,NA,NA,NA,0.378,0.77,0.896,NA,0.691,NA,1.54,NA,0.366,NA,NA,139,NA,NA,NA,NA,NA,NA,71.6,14.5,20.7,11.2,31.2,NA,1.9,472,3.9,NA,18.5,NA,6.02,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus agilis,2541,1001,1371,74.7,3329,713,169,111,29141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus dorsalis,2861,1214,1461,68.2,3808,879,186,148,27326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus eugenii,1745,835,859,68.2,2223,410,50.3,53.4,15421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus irma,1562,664,753,65.6,2127,499,146,80,22794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus parma,1301,624,580,37.7,1658,319,97.4,45,16595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nycticebus coucang,NA,NA,NA,33.75,1310,196,NA,NA,11512.5,1200,5831,4676,1155,NA,NA,800,12500,NA,NA,NA,NA,NA,NA,638,32.95,4.276,1.346,1.305,1.625,189.2,828,93.8,603,132,159.3,4.28,178.14,17.34,135.76,22.9,67.8,121.4,36.6,34.9,18.5,1.83,0.154,0.175,1077,0.95,91.22,NA,NA,67.06,23.62,565.77,498.71,0.76,8.76,14.03,510,10.96,528.0699999999999,345,NA,712.7,4240,11.4,2.04,3.18,1.41,1.77,1.96,1.34,1.1,8.88,5.14,5.62,3.05,14.7,7.32,5.72,3.03,NA,510,NA,NA,NA,NA,NA,NA,179,38.5,212,92,760,52.63,21.5,8495,6.4,1.04,52.2,63.8,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odocoileus virginianus,6345,2065,3566,281,11459.92,2994.5,714,201,136302.5,11100,72303.04000000001,51980,24390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3259.68,NA,NA,NA,NA,NA,NA,6521.28,5060.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3132.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2596.8,406.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7130.4,3750.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Onychogalea fraenata,952,401,434,39.1,1265,274,117,40.3,10828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Onychogalea unguifera,1274,552,627,71.9,1745,399,95.1,60.3,17106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ornithorhynchus anatinus,684.666666666667,295.333333333333,366,23.4666666666667,834.666666666667,126.766666666667,22.9666666666667,25.8666666666667,11291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryctolagus cuniculus,978,512,417,53.4,1214,182,49.2,32.5,11058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryzorictes hova,NA,NA,NA,NA,81.3,NA,NA,NA,538,NA,66.5,NA,NA,NA,NA,44.2,580,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.007,0.037,0.076,20.8,NA,NA,NA,NA,46.9,0.12,NA,NA,NA,1.3,9.7,11.1,NA,NA,NA,0.051,6.94e-4,0.018,36.9,NA,NA,NA,NA,NA,NA,64.3,NA,NA,NA,NA,88,NA,61,26.6,NA,NA,NA,1.2,0.257,NA,NA,NA,NA,0.331,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,9.8,23.5,10,32.5,NA,2.7,332,2.1,NA,14.2,NA,4.83,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osphranter antilopinus,4523,1940,2291,191,6113,1399,291,144,49202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osphranter bernardus,2043,905,965,88.1,3087,955,174,93.3,35661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osphranter rufus,5072,2270,2357,208,6822,1542,445,197,48846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otolemur crassicaudatus,NA,NA,NA,25.9,1414,127,NA,NA,8389,747,4196.5,3100,570.6666666666666,NA,NA,850,10300,NA,NA,NA,NA,NA,NA,464.5,21.6,2.518,0.724,0.647,1.147,148.8,548,NA,NA,68.4,165.9,2.52,164.58,9.6,78.22,10.4,45.5,103.3,28.1,37.8,19.9,1.02,0.102,0.0948,785,1.41,64.69,NA,NA,73.43,28.14,460.88,387.45,0.81,6.63,9.64,386,9.63,539.935,384,47.5,NA,NA,8.5,1.64,3.9,1.47,2.43,1.35,0.695,1.4,12.9,7.01,5.55,2.87,13.7,7.16,5.68,2.85,NA,405,NA,NA,NA,NA,NA,NA,145.2,27.2,181,70,556,42.22,12.5,6545,6.1,0.87,35.7,54.5,147,NA,74.6,5.71,127,4.1,63.3,67.4,437,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan paniscus,NA,42287.5,6550,NA,48862.5,NA,NA,NA,335486.1111111112,NA,246700,NA,NA,719,351,37133.3333333333,182426,1729.666666666666,934.333333333333,531.333333333334,260.666666666667,3279,1690.33333333333,NA,282.3,NA,NA,NA,NA,1285.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,50660,27340,NA,NA,NA,NA,4.09,NA,NA,NA,NA,4152.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7950,4220,3730,2050,1020,1030,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,134.95,426.5,853.5,292,2804.9,110.5,5800,276000,133.33333333333334,795.333333333333,270.666666666667,1588.66666666667,299.66666666666697,144.666666666667,155,NA
Pan troglodytes,44175,39102.57142857143,5752.09523809524,926.71,47514.19047619048,7652.5,674,2002,364319.0714285714,36100,274397.3333333333,167858.5,111421.33333333334,322.16666666666697,164.666666666667,46000,405000,1294.666666666667,703.666666666667,1132.833333333333,667.333333333333,2928.6666666666697,1600.66666666667,10811.5,330,NA,NA,NA,NA,1368.4,14597,1156,9437,4004,257.2,0,1166.33,85.7,622.88,174.8,375.3,1046.5,199.6,224,118,38,0.387,0.606,15392,12.32,386.54,68220,49510,1015.23,235.43,3778.69,2763.46,7.84,87.27,455.83,2750,58.32,5922.195,3739,1567.1,21960,150637,136,9.4,5.85,2.16,3.69,65.1,2.7,NA,58.5,29.8,23,9.65,99.6,54.7,42.8,23.5,NA,2852,14210,7640,6570,4610,2110,2500,577.5,61.3,2018,851,12246,266.58,141.5,313493,75,5.09,298,3990.6,1899,NA,2510,53.6,1739,127,1951,2078,7987,630,NA,NA,NA,NA,NA,NA,157.5,144.35,424.5,820.5,252.5,2239.2,269.9,4142.857142857143,310000,150,591,465.5,1328,179.66666666666669,65.6666666666667,114,NA
Panthera leo,18869,9315,8355,912,29282.18,6296,1199,700,222973,NA,139080.2,75300,45790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1578.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4496.16,NA,NA,NA,NA,NA,NA,11861.76,6199.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3082.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1324.8,422.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8932.32,3633.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panthera pardus,NA,NA,NA,NA,16028.16,NA,NA,NA,NA,NA,85872.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3121.44,NA,NA,NA,NA,NA,NA,7482.24,4802.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2855.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,2155.2,235.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6180.48,3809.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
